Test number,PR url,Files updated
1,https://github.com/GuillaumeFalourd/stackspot-actions/pull/86,2
2,https://github.com/GuillaumeFalourd/stackspot-actions/pull/87,2
3,https://github.com/GuillaumeFalourd/stackspot-actions/pull/88,2
4,https://github.com/GuillaumeFalourd/stackspot-actions/pull/89,2
5,https://github.com/GuillaumeFalourd/stackspot-actions/pull/90,2
6,https://github.com/GuillaumeFalourd/stackspot-actions/pull/91,2
7,https://github.com/GuillaumeFalourd/stackspot-actions/pull/92,2
8,https://github.com/GuillaumeFalourd/stackspot-actions/pull/93,2
9,https://github.com/GuillaumeFalourd/stackspot-actions/pull/94,2
10,https://github.com/GuillaumeFalourd/stackspot-actions/pull/95,2
11,https://github.com/GuillaumeFalourd/stackspot-actions/pull/96,2
12,https://github.com/GuillaumeFalourd/stackspot-actions/pull/97,2
13,https://github.com/GuillaumeFalourd/stackspot-actions/pull/98,2
14,https://github.com/GuillaumeFalourd/stackspot-actions/pull/99,2
15,https://github.com/GuillaumeFalourd/stackspot-actions/pull/100,2
16,https://github.com/GuillaumeFalourd/stackspot-actions/pull/101,2
17,https://github.com/GuillaumeFalourd/stackspot-actions/pull/102,2
18,https://github.com/GuillaumeFalourd/stackspot-actions/pull/103,2
19,https://github.com/GuillaumeFalourd/stackspot-actions/pull/104,1
20,https://github.com/GuillaumeFalourd/stackspot-actions/pull/105,2
21,https://github.com/GuillaumeFalourd/stackspot-actions/pull/106,2
22,https://github.com/GuillaumeFalourd/stackspot-actions/pull/107,2
23,https://github.com/GuillaumeFalourd/stackspot-actions/pull/108,2
24,https://github.com/GuillaumeFalourd/stackspot-actions/pull/109,2
25,https://github.com/GuillaumeFalourd/stackspot-actions/pull/110,2
26,https://github.com/GuillaumeFalourd/stackspot-actions/pull/111,2
27,https://github.com/GuillaumeFalourd/stackspot-actions/pull/112,2
28,https://github.com/GuillaumeFalourd/stackspot-actions/pull/113,2
29,https://github.com/GuillaumeFalourd/stackspot-actions/pull/114,2
30,https://github.com/GuillaumeFalourd/stackspot-actions/pull/115,2
31,https://github.com/GuillaumeFalourd/stackspot-actions/pull/116,2
32,https://github.com/GuillaumeFalourd/stackspot-actions/pull/117,2
33,https://github.com/GuillaumeFalourd/stackspot-actions/pull/118,2
34,https://github.com/GuillaumeFalourd/stackspot-actions/pull/119,2
35,https://github.com/GuillaumeFalourd/stackspot-actions/pull/120,2
36,https://github.com/GuillaumeFalourd/stackspot-actions/pull/121,2
