Test number,PR url,Files updated,Vulnerabilities
1,https://github.com/GuillaumeFalourd/stackspot-actions/pull/225,2,"['/home/runner/work/stackspot-actions/stackspot-actions/Dockerfile: amazoncorretto:21.0.3-al2023 updated to amazoncorretto:21.0.5-al2023', '/home/runner/work/stackspot-actions/stackspot-actions/Dockerfile: amazoncorretto:21.0.4-al2023-headless updated to amazoncorretto:21.0.5-al2023-headless', '/home/runner/work/stackspot-actions/stackspot-actions/test-nok/Dockerfile: amazoncorretto:21.0.4-al2023 updated to amazoncorretto:21.0.5-al2023']"
2,https://github.com/GuillaumeFalourd/stackspot-actions/pull/226,2,"['/home/runner/work/stackspot-actions/stackspot-actions/Dockerfile: amazoncorretto:21.0.3-al2023 updated to amazoncorretto:21.0.5-al2023', '/home/runner/work/stackspot-actions/stackspot-actions/Dockerfile: amazoncorretto:21.0.4-al2023-headless updated to amazoncorretto:21.0.5-al2023-headless', '/home/runner/work/stackspot-actions/stackspot-actions/test-nok/Dockerfile: amazoncorretto:21.0.4-al2023 updated to amazoncorretto:21.0.5-al2023']"
3,https://github.com/GuillaumeFalourd/stackspot-actions/pull/227,2,"['/home/runner/work/stackspot-actions/stackspot-actions/Dockerfile: amazoncorretto:21.0.3-al2023 updated to amazoncorretto:21.0.5-al2023', '/home/runner/work/stackspot-actions/stackspot-actions/Dockerfile: amazoncorretto:21.0.4-al2023-headless updated to amazoncorretto:21.0.5-al2023-headless', '/home/runner/work/stackspot-actions/stackspot-actions/test-nok/Dockerfile: amazoncorretto:21.0.4-al2023 updated to amazoncorretto:21.0.5-al2023']"
4,https://github.com/GuillaumeFalourd/stackspot-actions/pull/228,2,"['/home/runner/work/stackspot-actions/stackspot-actions/Dockerfile: amazoncorretto:21.0.3-al2023 updated to amazoncorretto:21.0.5-al2023', '/home/runner/work/stackspot-actions/stackspot-actions/Dockerfile: amazoncorretto:21.0.4-al2023-headless updated to amazoncorretto:21.0.5-al2023-headless', '/home/runner/work/stackspot-actions/stackspot-actions/test-nok/Dockerfile: amazoncorretto:21.0.4-al2023 updated to amazoncorretto:21.0.5-al2023']"
5,https://github.com/GuillaumeFalourd/stackspot-actions/pull/229,2,"['/home/runner/work/stackspot-actions/stackspot-actions/Dockerfile: amazoncorretto:21.0.3-al2023 updated to amazoncorretto:21.0.5-al2023', '/home/runner/work/stackspot-actions/stackspot-actions/Dockerfile: amazoncorretto:21.0.4-al2023-headless updated to amazoncorretto:21.0.5-al2023-headless', '/home/runner/work/stackspot-actions/stackspot-actions/test-nok/Dockerfile: amazoncorretto:21.0.4-al2023 updated to amazoncorretto:21.0.5-al2023']"
6,https://github.com/GuillaumeFalourd/stackspot-actions/pull/230,2,"['/home/runner/work/stackspot-actions/stackspot-actions/Dockerfile: amazoncorretto:21.0.3-al2023 updated to amazoncorretto:21.0.5-al2023', '/home/runner/work/stackspot-actions/stackspot-actions/Dockerfile: amazoncorretto:21.0.4-al2023-headless updated to amazoncorretto:21.0.5-al2023-headless', '/home/runner/work/stackspot-actions/stackspot-actions/test-nok/Dockerfile: Updated amazoncorretto:21.0.4-al2023 to amazoncorretto:21.0.5-al2023']"
7,https://github.com/GuillaumeFalourd/stackspot-actions/pull/231,2,"['/home/runner/work/stackspot-actions/stackspot-actions/Dockerfile: amazoncorretto:21.0.3-al2023 updated to amazoncorretto:21.0.5-al2023', '/home/runner/work/stackspot-actions/stackspot-actions/Dockerfile: amazoncorretto:21.0.4-al2023-headless updated to amazoncorretto:21.0.5-al2023-headless', '/home/runner/work/stackspot-actions/stackspot-actions/test-nok/Dockerfile: amazoncorretto:21.0.4-al2023 updated to amazoncorretto:21.0.5-al2023']"
8,https://github.com/GuillaumeFalourd/stackspot-actions/pull/232,2,"['/home/runner/work/stackspot-actions/stackspot-actions/Dockerfile: amazoncorretto:21.0.3-al2023 updated to amazoncorretto:21.0.5-al2023', '/home/runner/work/stackspot-actions/stackspot-actions/Dockerfile: amazoncorretto:21.0.4-al2023-headless updated to amazoncorretto:21.0.5-al2023-headless', '/home/runner/work/stackspot-actions/stackspot-actions/test-nok/Dockerfile: amazoncorretto:21.0.4-al2023 updated to amazoncorretto:21.0.5-al2023']"
9,https://github.com/GuillaumeFalourd/stackspot-actions/pull/233,2,"['/home/runner/work/stackspot-actions/stackspot-actions/Dockerfile: amazoncorretto:21.0.3-al2023 updated to amazoncorretto:21.0.5-al2023', '/home/runner/work/stackspot-actions/stackspot-actions/Dockerfile: amazoncorretto:21.0.4-al2023-headless updated to amazoncorretto:21.0.5-al2023-headless', '/home/runner/work/stackspot-actions/stackspot-actions/test-nok/Dockerfile: amazoncorretto:21.0.4-al2023 updated to amazoncorretto:21.0.5-al2023']"
10,https://github.com/GuillaumeFalourd/stackspot-actions/pull/234,2,"['/home/runner/work/stackspot-actions/stackspot-actions/Dockerfile: amazoncorretto:21.0.3-al2023 updated to amazoncorretto:21.0.5-al2023', '/home/runner/work/stackspot-actions/stackspot-actions/Dockerfile: amazoncorretto:21.0.4-al2023-headless updated to amazoncorretto:21.0.5-al2023-headless', '/home/runner/work/stackspot-actions/stackspot-actions/test-nok/Dockerfile: amazoncorretto:21.0.4-al2023 updated to amazoncorretto:21.0.5-al2023']"
